"","K","PIC.variance.obs","PIC.variance.rnd.mean","PIC.variance.P","PIC.variance.Z"
"Mass.time",0.738566927059446,1991460241.23973,3010591463.69001,0.116,-1.2685465179704
"Limonene",0.334040710314746,1454598988129774,1281166119681300,0.693,0.586140201736113
"X3.Hexen.1.ol...Z..",0.249290985490326,41801650800809528,25937640825867832,0.915,1.42811189987776
"X1.Hexanol",0.388318811222082,10976899976308.7,9873587029131.02,0.564,0.339075744655611
"beta.Pinene",0.268118452065277,20011183421404580,13286241079169240,0.715,1.11906481703149
"X3.Hexen.1.ol..acetate...Z..",0.248603624253048,1367412019002937088,826886964086868480,0.896,1.43290526233814
"trans.beta.Ocimene",0.370210108344451,45979244104097648,39708855951478328,0.659,0.55562779341655
"Caryophyllene",0.321503169020872,8968953852259308,6566985141657704,0.703,0.949725737488547
"Humulene",0.38901202173816,3311643634566286,3009267345654845,0.6065,0.284365225800005
"alpha.Farnesene",0.356075423189297,15003546704228390,14286162225707176,0.553,0.175826836975348
"X3.Carene",0.35082400958629,5576785121995300,4468998096181208,0.733,0.781964915630998
"Methyl.Benzoate",0.359071215049125,585016622448930,556455886831982,0.543,0.184294707371689
"X.E..beta.Famesene",0.237488142787207,26661471213138.9,15537791997700.2,0.954,1.46195443392677
"Germacrene.D",0.243455721467462,1253322562665364,748169610387560,0.908,1.40302136115535
"Pentadecane",0.740690651132761,6695815349485703,13338721275810110,0.131,-1.07931132161388
"Heptadecane",0.517442606004859,476454588923781,664882607701273,0.14,-1.06388345424542
"alpha.Pinene",0.290209809695122,21917041591712580,15094814637888112,0.719,1.0619621491253
"Camphene",0.437429150986446,1838357532217491,2036906575471141,0.601,-0.206110419286407
"beta.Myrcene",0.363121853043174,55148772269222.8,45199620565780.8,0.731,0.730801704995653
"Tridecane",0.785740487698038,6540483262401466,13305962418962020,0.174,-1.04510958415157
"Tetradecanal",0.787209794880071,665416121753119,1366436394790850,0.1465,-1.05607242535285
"Benzaldehyde",0.477912045740915,17007283556418.7,20922030282783.8,0.323,-0.545285884649986
"Eucalyptol",0.655005846753535,2803619520488344,5073824159999299,0.224,-0.939940191240728
"X1.Dodecene",0.636699494742135,102043164048756,177179806956215,0.2285,-0.919184235704409
"Tetradecanoic.acid..ethyl.ester",0.655005846753535,18918660403249.4,33387835155283.2,0.237,-0.895401691677528
"X1.Octanol",0.410649542393376,16723094146849,18764147111262.5,0.433,-0.313505451287567
"Octanoic.acid..ethyl.ester",0.261903894532489,105816870673308,75427547995699,0.73,1.03949395713881
"Dodecane",0.589155767762479,4019884587585.21,6504283505314.35,0.2745,-0.851847092183329
"Tetradecane",0.693967858385626,37113104617898.9,68931592912103.7,0.0535,-1.57806191502223
"Hexadecane",0.895456771220307,27113308973275.3,61845088336585.6,0.036,-1.56472503028775
"Hexadecanoic.acid..ethyl.ester",0.655005846753535,2559743332899.37,4455070338531.82,0.2485,-0.869713756181362
"Anisole",0.257681262220836,353378713564274,230018599182531,0.789,1.17614863513773
"Acetophenone",0.497034667711498,464676383941.785,568841161947.246,0.4875,-0.384269719459508
"Benzyl.Benzoate",0.548910333843851,8638988509857.13,11898179052455.3,0.4095,-0.580962253568468
"Butanedioic.acid..diethyl.ester",0.497034667711498,6341013110259.57,7809519030718.22,0.495,-0.393026430520829
"Benzeneacetic.acid..ethyl.ester",0.497034667711498,76899253318098,95053254511865.1,0.498,-0.400327993851871
"Undecane",0.797538996508149,163175602289669,337120130440001,0.1285,-1.08519203351828
"Decanal",0.789105724477604,105195347747703,218710256067571,0.1515,-1.08517957441785
"Dodecanal",0.798168783806915,987461161762855,2084494037917957,0.101,-1.10308078469008
"Hexanal",0.246080951721707,12363832624412,7424310835972.63,0.8445,1.3680560109878
"X2.Hexenal",0.241250715901417,148036238975391,89973562228765.6,0.8615,1.33467544958276
"Decane",0.241250715901417,700855400722.975,431717823339.353,0.862,1.33090682942484
"Butanoic.acid..3.hexenyl.ester...Z..",0.241250715901417,1866172440159.94,1131308665130.28,0.857,1.35482002266172
"Styrene",0.267672721475903,25173378368599.6,17220328679989.9,0.6665,0.984805942731517
"X2.6.Octadien.1.ol..3.7.dimethyl....Z..",0.267672721475903,15398371224665818,10356791115113626,0.6785,1.0232163029611
"X2.6.Octadienal..3.7.dimethyl....Z..",0.267672721475903,161802943663028,109904770474592,0.6735,1.0004323386741
"X2.6.Octadien.1.ol..3.7.dimethyl....E..",0.267672721475903,30025405708546196,20009320630261544,0.6815,1.03041041220223
"X2.6.Octadienal..3.7.dimethyl.",0.267672721475903,176832973001897,119249711664186,0.677,1.01316951497483
"X2.Propen.1.ol..3.phenyl.",0.267672721475903,35148221469484.1,23333156151055.7,0.6925,1.05964260902434
"X6.Octen.1.ol..3.7.dimethyl...acetate",0.266654020542251,1313821904345871,863281513529666,0.7445,1.13543917546427
"X2.6.Octadien.1.ol..3.7.dimethyl...acetate...Z..",0.354578484186767,24235907239337.4,20087670232718.6,0.655,0.48240414504384
"Geranyl.acetate",0.410061304710557,2031495441053598,1911538108071298,0.4815,0.192757515067494
"gamma.Terpinene",0.237488142787207,874633509028.27,522247177280.095,0.955,1.40566163777251
"Decanoic.acid..ethyl.ester",0.229710542004673,1371433386182.72,823327657466.771,0.7905,1.36137264885419
"beta.Phellandrene",0.229710542004673,7773881263740.6,4819883900259.92,0.7755,1.28488459977321
